id	Rank	P-Value
uniprot.Q9H0A6	1	3.770608973550017e-11
uniprot.Q9Y2H9	2	2.259143515527343e-11
uniprot.Q92947	3	3.8975033217330106e-11
uniprot.Q9BQ95	4	5.098939884767166e-10
uniprot.P10632	5	5.521555569720502e-12
uniprot.Q9NXK8	6	7.208455232203912e-11
uniprot.Q8TAG9	7	1.3605295052701667e-10
uniprot.P32119	8	4.933146105658388e-11
uniprot.Q13325	9	6.215246067770132e-11
uniprot.O14879	10	2.2959300609438252e-10
uniprot.Q14576	11	2.0076890775937653e-9
uniprot.Q92913	12	2.1150291504780298e-9
uniprot.Q16543	13	5.572033825510066e-9
uniprot.Q96QH2	14	2.722727470680787e-10
uniprot.P36776	15	3.2098389752454095e-10
uniprot.Q96JB6	16	3.1827805543184743e-12
uniprot.Q9Y6Q5	17	1.6428658810144177e-9
uniprot.Q9Y3B2	18	2.818236621041867e-9
uniprot.O60502	19	4.029828557170029e-9
uniprot.P11712	20	1.3452035093095293e-8
uniprot.P33260	21	1.8100289851846579e-9
uniprot.P20336	22	1.553284699988851e-8
uniprot.O95716	23	2.3118351676984395e-8
uniprot.Q15382	24	3.143123260888344e-8
uniprot.Q96FJ0	25	3.347201152688897e-8
uniprot.P25685	26	4.7329557279589014e-8
uniprot.P07858	27	1.0488758240465637e-7
uniprot.P54725	28	1.2522857956615253e-7
uniprot.P31749	29	2.6248888633845875e-7
uniprot.Q6ZUS6	30	2.7452545087873487e-7
uniprot.Q9NVT9	31	4.2233488220047303e-7
uniprot.Q9UQM7	32	1.255187847602793e-7
uniprot.P13591	33	3.5075854214878727e-7
uniprot.Q16854	34	3.288916659357623e-8
uniprot.Q9NVR5	35	8.025785320572563e-8
uniprot.Q16143	36	1.1440492681214286e-7
uniprot.P37840	37	5.273800984603279e-8
uniprot.Q9UHK0	38	1.0189266764029714e-8
uniprot.O00165	39	1.6737865235595955e-8
uniprot.O00429	40	1.8546506896100604e-9
uniprot.Q12860	41	5.831023376742483e-9
uniprot.P32004	42	1.946117727980545e-10
uniprot.P09471	43	1.5579987540323982e-8
uniprot.Q05193	44	1.8258473968248867e-8
uniprot.P42858	45	8.074370062902384e-9
uniprot.P61266	46	2.5267397449798284e-10
uniprot.P61764	47	9.540060373897335e-11
uniprot.Q9BPU6	48	2.6516538129576e-8
uniprot.Q14195	49	4.657866919066777e-9
uniprot.O14531	50	4.208627416143747e-10
uniprot.Q13491	51	3.165622417860505e-8
uniprot.Q53HL2	52	6.2880887645107125e-9
uniprot.Q14194	53	1.186860296755033e-8
uniprot.P21579	54	1.9816013618670474e-8
uniprot.P60880	55	1.8517166025723235e-9
uniprot.Q16623	56	6.713558183766202e-9
uniprot.Q9H115	57	6.2377458774776514e-9
uniprot.P00533	58	1.5356736069504776e-8
uniprot.Q00535	59	2.379671235767957e-9
uniprot.P17600	60	3.761185369833353e-10
uniprot.P49418	61	8.00344656821883e-10
uniprot.Q9Y3A4	62	2.3141607201934514e-8
uniprot.P59768	63	1.4380027703824206e-8
uniprot.P63027	64	3.073527100814725e-8
uniprot.P08247	65	1.147618069827967e-9
uniprot.Q99962	66	6.435163162629894e-8
uniprot.P34932	67	7.78679612389558e-8
uniprot.P22676	68	8.165031129344021e-8
uniprot.P20648	69	9.27598938152522e-8
uniprot.P17936	70	1.2389916414275658e-7
uniprot.P07339	71	1.2604047482765664e-8
uniprot.Q03135	72	1.9381707149857734e-8
uniprot.P68400	73	1.920913763989928e-8
uniprot.Q13393	74	2.3523920752176736e-8
uniprot.P12931	75	3.386272551567231e-8
uniprot.P35568	76	3.9026318691884805e-8
uniprot.P18031	77	9.222807276750672e-9
uniprot.Q07817	78	1.9502039811367405e-8
uniprot.P60709	79	1.0372253676652131e-7
uniprot.P61601	80	2.164339520780566e-8
uniprot.Q05655	81	2.554756921364725e-8
uniprot.O14939	82	3.613234194376702e-9
uniprot.P06241	83	9.092695472733672e-9
uniprot.P07900	84	3.021422062764536e-9
uniprot.P04406	85	1.7180590474906925e-9
uniprot.Q05513	86	2.1452928700925436e-9
uniprot.P23443	87	4.976189024311443e-10
uniprot.P28482	88	6.031248808532349e-10
uniprot.Q13501	89	6.653366193478939e-10
uniprot.Q14449	90	1.0949541158409369e-10
uniprot.P42345	91	3.7368897198315863e-10
uniprot.O15530	92	2.509469691374425e-10
uniprot.Q13554	93	5.034023640207151e-10
uniprot.Q13153	94	6.975938899769051e-10
uniprot.P04049	95	1.490457875356107e-10
uniprot.P45983	96	8.786954065348092e-10
uniprot.Q14790	97	4.761986215281691e-10
uniprot.P27986	98	1.0093843505633799e-10
uniprot.P25445	99	4.061911904536597e-11
uniprot.P35222	100	1.2547367219711507e-11
uniprot.P55957	101	1.68744001700352e-11
uniprot.O14920	102	8.814148907443141e-12
uniprot.O15111	103	1.8946897604211107e-12
uniprot.P17252	104	2.7423216774839908e-12
uniprot.P31751	105	5.737926055715775e-12
uniprot.P08238	106	5.600260363755202e-12
uniprot.Q9UHD2	107	8.79025228850651e-13
uniprot.Q16584	108	1.5177311503143564e-12
uniprot.P16591	109	3.028094493780814e-12
uniprot.P14618	110	1.2349147670599167e-12
uniprot.Q04759	111	3.619936427736545e-13
uniprot.Q06187	112	3.217487829984265e-13
uniprot.Q02156	113	1.77980183271961e-13
uniprot.P51813	114	9.198872429699762e-13
uniprot.Q9Y243	115	2.1070074783006507e-12
uniprot.P41743	116	3.804696738150919e-12
uniprot.Q02750	117	2.4126453953682514e-12
uniprot.P63104	118	2.184458612473646e-12
uniprot.Q13164	119	8.286798498609613e-13
uniprot.P07437	120	6.651286080420027e-13
uniprot.P31946	121	3.245430455717078e-13
uniprot.P49407	122	5.929804128146026e-14
uniprot.Q92934	123	1.183677346010651e-13
