id	Rank	P-Value
entrez.5610	1	4.347692655196389e-8
entrez.3716	2	5.806347629731399e-10
entrez.5159	3	1.3671478356383112e-9
entrez.3717	4	1.5893406605781183e-11
entrez.3326	5	5.8394309071339994e-12
entrez.6773	6	3.3046376104242066e-13
entrez.6772	7	7.118198535201094e-15
entrez.3455	8	1.0073913376234852e-11
entrez.3454	9	1.7124153801124459e-13
entrez.10399	10	1.86660295622061e-11
entrez.8651	11	3.303392853007621e-11
entrez.3560	12	3.928930280821514e-13
entrez.2534	13	1.0881491925804581e-13
entrez.1439	14	1.6716394306841077e-14
entrez.5295	15	5.787533660746237e-16
entrez.5781	16	4.1621578168380335e-15
entrez.3667	17	5.091464558210152e-15
entrez.3480	18	2.282272179937101e-16
entrez.2690	19	3.191080254636788e-17
entrez.6464	20	6.580767247109193e-18
entrez.6776	21	5.414482185462493e-18
entrez.6777	22	5.49348661216587e-19
entrez.3643	23	6.90684044747157e-19
entrez.5777	24	2.3330112560636456e-20
entrez.3718	25	2.9500349452101766e-20
entrez.8660	26	2.7319402723700006e-22
entrez.3932	27	2.956154199444667e-20
entrez.3815	28	6.653552439878585e-21
entrez.2242	29	7.661110350471429e-21
entrez.3566	30	1.8602421382768882e-20
entrez.5335	31	4.1098362826410073e-20
entrez.2057	32	3.260073348181673e-22
entrez.5336	33	1.7840174158939865e-22
entrez.5788	34	1.5018259243193793e-21
entrez.2064	35	1.9475850430678097e-22
entrez.867	36	9.975149134629575e-24
entrez.6850	37	4.539383297435791e-24
entrez.10603	38	5.313538018974382e-25
entrez.4067	39	2.1855736142945137e-25
entrez.2185	40	1.0264554396839856e-25
entrez.5747	41	1.858185885723498e-26
entrez.6714	42	1.1867248173494849e-27
entrez.5921	43	7.072112690020517e-26
entrez.2885	44	1.0931352037025172e-26
entrez.4233	45	5.74735836941827e-28
entrez.7409	46	5.119144394422467e-29
entrez.2549	47	1.0901251528644083e-28
entrez.9021	48	4.175551914543617e-29
entrez.1956	49	1.9995809122933185e-29
entrez.5296	50	2.6720412514368253e-30
entrez.238	undefined	undefined
entrez.4869	undefined	undefined
entrez.7297	undefined	undefined
entrez.7291	undefined	undefined
entrez.3320	undefined	undefined
entrez.6774	undefined	undefined
